"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2010","2010",97.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2011","2011",99.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2012","2012",99.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2013","2013",101.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2014","2014",100.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2016","2016",103.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2017","2017",105.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2018","2018",109.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2019","2019",112.6,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2010","2010",90.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2011","2011",92.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2012","2012",94.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2013","2013",95.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2014","2014",97.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2016","2016",101.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2017","2017",102.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2018","2018",104.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2019","2019",106.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2010","2010",93,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2011","2011",94.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2012","2012",96.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2013","2013",97.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2014","2014",98.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2016","2016",101.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2017","2017",103.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2018","2018",105.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2019","2019",106.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2010","2010",93.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2011","2011",96.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2012","2012",97.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2013","2013",99,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2014","2014",100.9,,
