,fecha,interes_en_cancer
0,2013-01-01,8
1,2013-02-01,15
2,2013-03-01,11
3,2013-04-01,7
4,2013-05-01,13
5,2013-06-01,15
6,2013-07-01,6
7,2013-08-01,8
8,2013-09-01,15
9,2013-10-01,46
10,2013-11-01,11
11,2013-12-01,6
12,2014-01-01,13
13,2014-02-01,13
14,2014-03-01,16
15,2014-04-01,12
16,2014-05-01,17
17,2014-06-01,8
18,2014-07-01,5
19,2014-08-01,8
20,2014-09-01,19
21,2014-10-01,78
22,2014-11-01,19
23,2014-12-01,13
24,2015-01-01,15
25,2015-02-01,4
26,2015-03-01,24
27,2015-04-01,18
28,2015-05-01,9
29,2015-06-01,18
30,2015-07-01,12
31,2015-08-01,14
32,2015-09-01,12
33,2015-10-01,74
34,2015-11-01,25
35,2015-12-01,11
36,2016-01-01,5
37,2016-02-01,11
38,2016-03-01,6
39,2016-04-01,9
40,2016-05-01,8
41,2016-06-01,12
42,2016-07-01,19
43,2016-08-01,9
44,2016-09-01,17
45,2016-10-01,52
46,2016-11-01,20
47,2016-12-01,12
48,2017-01-01,11
49,2017-02-01,9
50,2017-03-01,14
51,2017-04-01,13
52,2017-05-01,19
53,2017-06-01,15
54,2017-07-01,12
55,2017-08-01,11
56,2017-09-01,21
57,2017-10-01,67
58,2017-11-01,23
59,2017-12-01,7
60,2018-01-01,11
61,2018-02-01,18
62,2018-03-01,21
63,2018-04-01,12
64,2018-05-01,19
65,2018-06-01,17
66,2018-07-01,15
67,2018-08-01,15
68,2018-09-01,35
69,2018-10-01,93
70,2018-11-01,34
71,2018-12-01,18
72,2019-01-01,27
73,2019-02-01,23
74,2019-03-01,24
75,2019-04-01,26
76,2019-05-01,23
77,2019-06-01,22
78,2019-07-01,16
79,2019-08-01,21
80,2019-09-01,31
81,2019-10-01,100
82,2019-11-01,40
83,2019-12-01,23
84,2020-01-01,31
