VAR,Variable,Country,Year,Value
CANCTOCA,Malignant neoplasms,Australia,2002-01-01,312.0
CANCTOCA,Malignant neoplasms,Australia,2008-01-01,314.1
CANCTOCA,Malignant neoplasms,Australia,2012-01-01,323.0
CANCCOLC,Malignant neoplasms of colon,Australia,2002-01-01,41.7
CANCCOLC,Malignant neoplasms of colon,Australia,2008-01-01,38.7
CANCCOLC,Malignant neoplasms of colon,Australia,2012-01-01,38.4
CANCLUNC,Malignant neoplasms of lung,Australia,2002-01-01,28.2
CANCLUNC,Malignant neoplasms of lung,Australia,2008-01-01,25.6
CANCLUNC,Malignant neoplasms of lung,Australia,2012-01-01,27.0
CANCTOCA,Malignant neoplasms,Austria,2000-01-01,250.7
CANCTOCA,Malignant neoplasms,Austria,2002-01-01,275.5
CANCTOCA,Malignant neoplasms,Austria,2008-01-01,250.6
CANCTOCA,Malignant neoplasms,Austria,2012-01-01,254.1
CANCCOLC,Malignant neoplasms of colon,Austria,2000-01-01,34.7
CANCCOLC,Malignant neoplasms of colon,Austria,2002-01-01,35.0
CANCCOLC,Malignant neoplasms of colon,Austria,2008-01-01,28.6
CANCCOLC,Malignant neoplasms of colon,Austria,2012-01-01,26.0
CANCLUNC,Malignant neoplasms of lung,Austria,2000-01-01,27.0
CANCLUNC,Malignant neoplasms of lung,Austria,2002-01-01,28.5
CANCLUNC,Malignant neoplasms of lung,Austria,2008-01-01,25.1
CANCLUNC,Malignant neoplasms of lung,Austria,2012-01-01,27.5
CANCTOCA,Malignant neoplasms,Belgium,2000-01-01,282.2
CANCTOCA,Malignant neoplasms,Belgium,2002-01-01,296.2
CANCTOCA,Malignant neoplasms,Belgium,2008-01-01,309.4
CANCTOCA,Malignant neoplasms,Belgium,2012-01-01,321.1
CANCCOLC,Malignant neoplasms of colon,Belgium,2000-01-01,32.7
CANCCOLC,Malignant neoplasms of colon,Belgium,2002-01-01,31.9
CANCCOLC,Malignant neoplasms of colon,Belgium,2008-01-01,35.5
CANCCOLC,Malignant neoplasms of colon,Belgium,2012-01-01,36.7
CANCLUNC,Malignant neoplasms of lung,Belgium,2000-01-01,43.8
CANCLUNC,Malignant neoplasms of lung,Belgium,2002-01-01,43.8
CANCLUNC,Malignant neoplasms of lung,Belgium,2008-01-01,35.3
CANCLUNC,Malignant neoplasms of lung,Belgium,2012-01-01,36.8
CANCTOCA,Malignant neoplasms,Canada,2002-01-01,299.9
CANCTOCA,Malignant neoplasms,Canada,2008-01-01,296.6
CANCTOCA,Malignant neoplasms,Canada,2012-01-01,295.7
CANCCOLC,Malignant neoplasms of colon,Canada,2002-01-01,36.4
CANCCOLC,Malignant neoplasms of colon,Canada,2008-01-01,38.1
CANCCOLC,Malignant neoplasms of colon,Canada,2012-01-01,35.2
CANCLUNC,Malignant neoplasms of lung,Canada,2002-01-01,43.7
CANCLUNC,Malignant neoplasms of lung,Canada,2008-01-01,35.9
CANCLUNC,Malignant neoplasms of lung,Canada,2012-01-01,37.9
CANCTOCA,Malignant neoplasms,Czech Republic,2002-01-01,289.3
CANCTOCA,Malignant neoplasms,Czech Republic,2008-01-01,288.5
CANCTOCA,Malignant neoplasms,Czech Republic,2012-01-01,293.8
CANCCOLC,Malignant neoplasms of colon,Czech Republic,2002-01-01,45.3
CANCCOLC,Malignant neoplasms of colon,Czech Republic,2008-01-01,43.0
CANCCOLC,Malignant neoplasms of colon,Czech Republic,2012-01-01,38.9
CANCLUNC,Malignant neoplasms of lung,Czech Republic,2002-01-01,39.7
CANCLUNC,Malignant neoplasms of lung,Czech Republic,2008-01-01,32.1
