Country,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,Gasto en Salud % PIB,8,9,9,9,9,9,9,9,10,11,11,10,10,10,10,11,11,11,11
Canada,Gasto en Salud PPP per cápita,2430,2618,2758,2928,3087,3290,3555,3718,3855,4140,4257,4273,4384,4553,4660,4729,4909,5023,5200
Canada,Gasto Público % Gasto en Salud,73,73,72,73,73,73,73,73,73,73,73,74,74,74,74,74,73,73,73
Canada,Gasto Privado % Gasto en Salud,27,27,28,27,27,27,27,27,27,27,27,26,26,26,26,26,27,27,27
Chile,Gasto en Salud % PIB,7,7,7,7,7,7,6,6,7,7,7,7,7,7,8,8,9,9,9
Chile,Gasto en Salud PPP per cápita,672,713,751,795,815,840,951,1046,1112,1165,1230,1378,1510,1671,1779,1884,1949,2193,2306
Chile,Gasto Público % Gasto en Salud,36,36,38,38,39,39,41,42,44,47,47,47,48,48,48,48,50,50,51
Chile,Gasto Privado % Gasto en Salud,64,64,62,62,61,61,59,58,56,53,53,53,52,52,52,52,50,50,49
Colombia,Gasto en Salud % PIB,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8
Colombia,Gasto en Salud PPP per cápita,353,383,382,411,442,506,574,637,698,751,760,791,826,905,979,1054,1074,1114,1155
Colombia,Gasto Público % Gasto en Salud,75,75,76,77,74,72,72,71,69,72,72,73,70,70,70,71,70,71,72
Colombia,Gasto Privado % Gasto en Salud,25,25,23,21,25,27,27,29,31,28,28,26,30,30,30,29,30,29,28
Mexico,Gasto en Salud % PIB,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
Mexico,Gasto en Salud PPP per cápita,493,536,567,668,720,739,781,824,851,892,912,942,1003,1032,1016,1060,1055,1072,1066
Mexico,Gasto Público % Gasto en Salud,45,44,43,42,43,42,43,44,46,47,49,51,52,53,53,53,52,52,50
Mexico,Gasto Privado % Gasto en Salud,55,56,57,58,57,58,57,56,54,53,51,49,48,47,47,47,48,48,50
United States of America,Gasto en Salud % PIB,13,13,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17
United States of America,Gasto en Salud PPP per cápita,4564,4915,5332,5741,6104,6455,6821,7172,7411,7681,7930,8131,8399,8600,9024,9491,9878,10210,10624
United States of America,Gasto Público % Gasto en Salud,44,45,45,45,45,45,46,46,47,48,49,49,49,49,50,51,50,50,50
United States of America,Gasto Privado % Gasto en Salud,56,55,55,55,55,55,54,54,53,52,51,51,51,51,50,49,50,50,50
Austria,Gasto en Salud % PIB,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Austria,Gasto en Salud PPP per cápita,2708,2762,2936,3074,3288,3382,3592,3760,4025,4192,4303,4466,4751,4945,5083,5206,5476,5674,5879
Austria,Gasto Público % Gasto en Salud,74,74,73,73,72,73,73,73,74,73,72,73,73,72,73,72,72,72,73
Austria,Gasto Privado % Gasto en Salud,26,26,27,27,28,27,27,27,26,27,28,27,27,28,27,28,28,28,27
Belgium,Gasto en Salud % PIB,8,8,8,9,9,9,9,9,10,10,10,10,11,11,10,10,10,10,10
Belgium,Gasto en Salud PPP per cápita,2226,2352,2525,2851,3008,3083,3238,3382,3664,3929,4101,4269,4456,4621,4703,4835,5007,5289,5405
