,resultado,edad,cuenta
0,Altamente Sugestiva a Malignidad,25,2
1,Altamente Sugestiva a Malignidad,28,1
2,Altamente Sugestiva a Malignidad,29,1
3,Altamente Sugestiva a Malignidad,30,3
4,Altamente Sugestiva a Malignidad,31,6
5,Altamente Sugestiva a Malignidad,32,10
6,Altamente Sugestiva a Malignidad,33,7
7,Altamente Sugestiva a Malignidad,34,7
8,Altamente Sugestiva a Malignidad,35,13
9,Altamente Sugestiva a Malignidad,36,11
10,Altamente Sugestiva a Malignidad,37,9
11,Altamente Sugestiva a Malignidad,38,24
12,Altamente Sugestiva a Malignidad,39,24
13,Altamente Sugestiva a Malignidad,40,52
14,Altamente Sugestiva a Malignidad,41,52
15,Altamente Sugestiva a Malignidad,42,39
16,Altamente Sugestiva a Malignidad,43,56
17,Altamente Sugestiva a Malignidad,44,42
18,Altamente Sugestiva a Malignidad,45,68
19,Altamente Sugestiva a Malignidad,46,63
20,Altamente Sugestiva a Malignidad,47,60
21,Altamente Sugestiva a Malignidad,48,57
22,Altamente Sugestiva a Malignidad,49,51
23,Altamente Sugestiva a Malignidad,50,63
24,Altamente Sugestiva a Malignidad,51,73
25,Altamente Sugestiva a Malignidad,52,64
26,Altamente Sugestiva a Malignidad,53,65
27,Altamente Sugestiva a Malignidad,54,57
28,Altamente Sugestiva a Malignidad,55,48
29,Altamente Sugestiva a Malignidad,56,57
30,Altamente Sugestiva a Malignidad,57,57
31,Altamente Sugestiva a Malignidad,58,66
32,Altamente Sugestiva a Malignidad,59,43
33,Altamente Sugestiva a Malignidad,60,50
34,Altamente Sugestiva a Malignidad,61,50
35,Altamente Sugestiva a Malignidad,62,45
36,Altamente Sugestiva a Malignidad,63,43
37,Altamente Sugestiva a Malignidad,64,37
38,Altamente Sugestiva a Malignidad,65,42
39,Altamente Sugestiva a Malignidad,66,32
40,Altamente Sugestiva a Malignidad,67,25
41,Altamente Sugestiva a Malignidad,68,25
42,Altamente Sugestiva a Malignidad,69,19
43,Anormalidad Sospechosa,25,2
44,Anormalidad Sospechosa,26,5
45,Anormalidad Sospechosa,27,2
46,Anormalidad Sospechosa,28,8
47,Anormalidad Sospechosa,29,9
48,Anormalidad Sospechosa,30,7
49,Anormalidad Sospechosa,31,15
50,Anormalidad Sospechosa,32,13
51,Anormalidad Sospechosa,33,21
52,Anormalidad Sospechosa,34,12
53,Anormalidad Sospechosa,35,22
54,Anormalidad Sospechosa,36,42
55,Anormalidad Sospechosa,37,40
56,Anormalidad Sospechosa,38,47
57,Anormalidad Sospechosa,39,88
58,Anormalidad Sospechosa,40,316
59,Anormalidad Sospechosa,41,296
60,Anormalidad Sospechosa,42,311
61,Anormalidad Sospechosa,43,307
62,Anormalidad Sospechosa,44,305
63,Anormalidad Sospechosa,45,318
64,Anormalidad Sospechosa,46,309
65,Anormalidad Sospechosa,47,327
66,Anormalidad Sospechosa,48,310
67,Anormalidad Sospechosa,49,298
68,Anormalidad Sospechosa,50,280
69,Anormalidad Sospechosa,51,254
70,Anormalidad Sospechosa,52,258
71,Anormalidad Sospechosa,53,229
72,Anormalidad Sospechosa,54,243
73,Anormalidad Sospechosa,55,190
74,Anormalidad Sospechosa,56,201
75,Anormalidad Sospechosa,57,190
76,Anormalidad Sospechosa,58,178
77,Anormalidad Sospechosa,59,149
78,Anormalidad Sospechosa,60,150
79,Anormalidad Sospechosa,61,125
80,Anormalidad Sospechosa,62,88
81,Anormalidad Sospechosa,63,85
82,Anormalidad Sospechosa,64,109
83,Anormalidad Sospechosa,65,82
84,Anormalidad Sospechosa,66,82
85,Anormalidad Sospechosa,67,68
86,Anormalidad Sospechosa,68,64
