,estado,edad,count
0,Aguascalientes,28,2
1,Aguascalientes,29,4
2,Aguascalientes,30,1
3,Aguascalientes,31,3
4,Aguascalientes,33,2
5,Aguascalientes,34,3
6,Aguascalientes,35,8
7,Aguascalientes,36,9
8,Aguascalientes,37,8
9,Aguascalientes,38,13
10,Aguascalientes,39,31
11,Aguascalientes,40,492
12,Aguascalientes,41,452
13,Aguascalientes,42,504
14,Aguascalientes,43,519
15,Aguascalientes,44,445
16,Aguascalientes,45,438
17,Aguascalientes,46,435
18,Aguascalientes,47,408
19,Aguascalientes,48,433
20,Aguascalientes,49,404
21,Aguascalientes,50,375
22,Aguascalientes,51,340
23,Aguascalientes,52,311
24,Aguascalientes,53,284
25,Aguascalientes,54,282
26,Aguascalientes,55,307
27,Aguascalientes,56,249
28,Aguascalientes,57,243
29,Aguascalientes,58,223
30,Aguascalientes,59,214
31,Aguascalientes,60,194
32,Aguascalientes,61,143
33,Aguascalientes,62,169
34,Aguascalientes,63,136
35,Aguascalientes,64,109
36,Aguascalientes,65,87
37,Aguascalientes,66,78
38,Aguascalientes,67,52
39,Aguascalientes,68,70
40,Aguascalientes,69,55
41,Baja California,25,3
42,Baja California,27,1
43,Baja California,28,2
44,Baja California,29,2
45,Baja California,30,3
46,Baja California,31,4
47,Baja California,32,4
48,Baja California,33,5
49,Baja California,34,9
50,Baja California,35,12
51,Baja California,36,16
52,Baja California,37,24
53,Baja California,38,27
54,Baja California,39,115
55,Baja California,40,793
56,Baja California,41,923
57,Baja California,42,857
58,Baja California,43,890
59,Baja California,44,871
60,Baja California,45,792
61,Baja California,46,838
62,Baja California,47,763
63,Baja California,48,808
64,Baja California,49,808
65,Baja California,50,839
66,Baja California,51,793
67,Baja California,52,747
68,Baja California,53,661
69,Baja California,54,658
70,Baja California,55,565
71,Baja California,56,581
72,Baja California,57,505
73,Baja California,58,509
74,Baja California,59,402
75,Baja California,60,403
76,Baja California,61,369
77,Baja California,62,329
78,Baja California,63,291
79,Baja California,64,289
80,Baja California,65,237
81,Baja California,66,219
82,Baja California,67,171
83,Baja California,68,158
84,Baja California,69,112
85,Baja California Sur,27,1
86,Baja California Sur,30,1
87,Baja California Sur,32,1
88,Baja California Sur,33,3
89,Baja California Sur,34,2
90,Baja California Sur,35,4
91,Baja California Sur,36,4
92,Baja California Sur,37,11
93,Baja California Sur,38,20
94,Baja California Sur,39,51
95,Baja California Sur,40,209
96,Baja California Sur,41,184
97,Baja California Sur,42,182
98,Baja California Sur,43,216
99,Baja California Sur,44,193
100,Baja California Sur,45,184
101,Baja California Sur,46,179
102,Baja California Sur,47,192
103,Baja California Sur,48,175
104,Baja California Sur,49,177
105,Baja California Sur,50,164
106,Baja California Sur,51,154
107,Baja California Sur,52,143
108,Baja California Sur,53,153
109,Baja California Sur,54,147
110,Baja California Sur,55,152
111,Baja California Sur,56,125
112,Baja California Sur,57,109
113,Baja California Sur,58,116
114,Baja California Sur,59,89
115,Baja California Sur,60,78
116,Baja California Sur,61,69
117,Baja California Sur,62,61
118,Baja California Sur,63,43
119,Baja California Sur,64,51
