,estado,edad,cuenta
0,Aguascalientes,26,1
1,Aguascalientes,28,1
2,Aguascalientes,30,1
3,Aguascalientes,31,1
4,Aguascalientes,32,4
5,Aguascalientes,33,3
6,Aguascalientes,34,1
7,Aguascalientes,35,4
8,Aguascalientes,36,15
9,Aguascalientes,37,6
10,Aguascalientes,38,13
11,Aguascalientes,39,30
12,Aguascalientes,40,382
13,Aguascalientes,41,458
14,Aguascalientes,42,447
15,Aguascalientes,43,441
16,Aguascalientes,44,427
17,Aguascalientes,45,456
18,Aguascalientes,46,475
19,Aguascalientes,47,416
20,Aguascalientes,48,402
21,Aguascalientes,49,425
22,Aguascalientes,50,348
23,Aguascalientes,51,331
24,Aguascalientes,52,322
25,Aguascalientes,53,319
26,Aguascalientes,54,295
27,Aguascalientes,55,293
28,Aguascalientes,56,262
29,Aguascalientes,57,219
30,Aguascalientes,58,240
31,Aguascalientes,59,242
32,Aguascalientes,60,185
33,Aguascalientes,61,161
34,Aguascalientes,62,150
35,Aguascalientes,63,137
36,Aguascalientes,64,110
37,Aguascalientes,65,104
38,Aguascalientes,66,83
39,Aguascalientes,67,79
40,Aguascalientes,68,61
41,Aguascalientes,69,50
42,Baja California,25,1
43,Baja California,26,1
44,Baja California,27,1
45,Baja California,28,4
46,Baja California,29,2
47,Baja California,30,3
48,Baja California,31,4
49,Baja California,32,2
50,Baja California,33,5
51,Baja California,34,5
52,Baja California,35,11
53,Baja California,36,11
54,Baja California,37,30
55,Baja California,38,41
56,Baja California,39,56
57,Baja California,40,765
58,Baja California,41,894
59,Baja California,42,935
60,Baja California,43,917
61,Baja California,44,1061
62,Baja California,45,896
63,Baja California,46,836
64,Baja California,47,796
65,Baja California,48,847
66,Baja California,49,777
67,Baja California,50,875
68,Baja California,51,859
69,Baja California,52,804
70,Baja California,53,747
71,Baja California,54,718
72,Baja California,55,740
73,Baja California,56,623
74,Baja California,57,587
75,Baja California,58,573
76,Baja California,59,519
77,Baja California,60,530
78,Baja California,61,407
79,Baja California,62,368
80,Baja California,63,325
81,Baja California,64,332
82,Baja California,65,276
83,Baja California,66,220
84,Baja California,67,194
85,Baja California,68,174
86,Baja California,69,138
87,Baja California Sur,25,1
88,Baja California Sur,26,1
89,Baja California Sur,27,2
90,Baja California Sur,29,1
91,Baja California Sur,30,3
92,Baja California Sur,31,2
93,Baja California Sur,32,4
94,Baja California Sur,33,3
95,Baja California Sur,34,4
96,Baja California Sur,35,5
97,Baja California Sur,36,9
98,Baja California Sur,37,17
