,resultado,estado,cuenta
0,Altamente Sugestiva a Malignidad,Aguascalientes,21
1,Altamente Sugestiva a Malignidad,Baja California,29
2,Altamente Sugestiva a Malignidad,Baja California Sur,12
3,Altamente Sugestiva a Malignidad,Campeche,1
4,Altamente Sugestiva a Malignidad,Chiapas,21
5,Altamente Sugestiva a Malignidad,Chihuahua,19
6,Altamente Sugestiva a Malignidad,Ciudad de México,185
7,Altamente Sugestiva a Malignidad,Coahuila de Zaragoza,46
8,Altamente Sugestiva a Malignidad,Colima,11
9,Altamente Sugestiva a Malignidad,Durango,10
10,Altamente Sugestiva a Malignidad,Estado de México,122
11,Altamente Sugestiva a Malignidad,Guanajuato,72
12,Altamente Sugestiva a Malignidad,Guerrero,15
13,Altamente Sugestiva a Malignidad,Hidalgo,41
14,Altamente Sugestiva a Malignidad,Jalisco,46
15,Altamente Sugestiva a Malignidad,Michoacán de Ocampo,56
16,Altamente Sugestiva a Malignidad,Morelos,8
17,Altamente Sugestiva a Malignidad,Nayarit,11
18,Altamente Sugestiva a Malignidad,Nuevo León,21
19,Altamente Sugestiva a Malignidad,Oaxaca,11
20,Altamente Sugestiva a Malignidad,Puebla,35
21,Altamente Sugestiva a Malignidad,Querétaro,74
22,Altamente Sugestiva a Malignidad,Quintana Roo,22
23,Altamente Sugestiva a Malignidad,San Luis Potosí,14
24,Altamente Sugestiva a Malignidad,Sinaloa,4
25,Altamente Sugestiva a Malignidad,Sonora,6
26,Altamente Sugestiva a Malignidad,Tabasco,27
27,Altamente Sugestiva a Malignidad,Tamaulipas,92
28,Altamente Sugestiva a Malignidad,Tlaxcala,12
29,Altamente Sugestiva a Malignidad,Veracruz,2
30,Altamente Sugestiva a Malignidad,Yucatán,6
31,Altamente Sugestiva a Malignidad,Zacatecas,28
32,Anormalidad Sospechosa,Aguascalientes,5
33,Anormalidad Sospechosa,Baja California,28
34,Anormalidad Sospechosa,Baja California Sur,13
35,Anormalidad Sospechosa,Campeche,2
36,Anormalidad Sospechosa,Chiapas,24
37,Anormalidad Sospechosa,Chihuahua,13
38,Anormalidad Sospechosa,Ciudad de México,259
39,Anormalidad Sospechosa,Coahuila de Zaragoza,18
40,Anormalidad Sospechosa,Colima,4
41,Anormalidad Sospechosa,Durango,3
42,Anormalidad Sospechosa,Estado de México,1135
43,Anormalidad Sospechosa,Guanajuato,27
44,Anormalidad Sospechosa,Guerrero,38
45,Anormalidad Sospechosa,Hidalgo,106
46,Anormalidad Sospechosa,Jalisco,181
47,Anormalidad Sospechosa,Michoacán de Ocampo,450
48,Anormalidad Sospechosa,Morelos,5
49,Anormalidad Sospechosa,Nayarit,5
50,Anormalidad Sospechosa,Nuevo León,42
51,Anormalidad Sospechosa,Oaxaca,22
52,Anormalidad Sospechosa,Puebla,80
53,Anormalidad Sospechosa,Querétaro,139
54,Anormalidad Sospechosa,Quintana Roo,6
55,Anormalidad Sospechosa,San Luis Potosí,7
56,Anormalidad Sospechosa,Sinaloa,7
57,Anormalidad Sospechosa,Sonora,11
58,Anormalidad Sospechosa,Tabasco,8
59,Anormalidad Sospechosa,Tamaulipas,48
60,Anormalidad Sospechosa,Tlaxcala,6
61,Anormalidad Sospechosa,Veracruz,9
62,Anormalidad Sospechosa,Yucatán,2
63,Anormalidad Sospechosa,Zacatecas,28
64,Baja Sospecha de Malignidad,Aguascalientes,15
65,Baja Sospecha de Malignidad,Baja California,23
66,Baja Sospecha de Malignidad,Campeche,1
67,Baja Sospecha de Malignidad,Chiapas,16
68,Baja Sospecha de Malignidad,Chihuahua,53
69,Baja Sospecha de Malignidad,Ciudad de México,104
70,Baja Sospecha de Malignidad,Coahuila de Zaragoza,16
71,Baja Sospecha de Malignidad,Colima,9
72,Baja Sospecha de Malignidad,Durango,6
73,Baja Sospecha de Malignidad,Estado de México,208
74,Baja Sospecha de Malignidad,Guanajuato,9
75,Baja Sospecha de Malignidad,Guerrero,2
76,Baja Sospecha de Malignidad,Hidalgo,38
77,Baja Sospecha de Malignidad,Jalisco,58
78,Baja Sospecha de Malignidad,Michoacán de Ocampo,63
79,Baja Sospecha de Malignidad,Morelos,3
80,Baja Sospecha de Malignidad,Nayarit,2
81,Baja Sospecha de Malignidad,Nuevo León,17
82,Baja Sospecha de Malignidad,Oaxaca,43
83,Baja Sospecha de Malignidad,Puebla,93
84,Baja Sospecha de Malignidad,Querétaro,13
85,Baja Sospecha de Malignidad,Quintana Roo,4
86,Baja Sospecha de Malignidad,San Luis Potosí,7
87,Baja Sospecha de Malignidad,Sinaloa,12
88,Baja Sospecha de Malignidad,Sonora,2
89,Baja Sospecha de Malignidad,Tabasco,2
90,Baja Sospecha de Malignidad,Tamaulipas,24
91,Baja Sospecha de Malignidad,Tlaxcala,16
92,Baja Sospecha de Malignidad,Veracruz,30
93,Baja Sospecha de Malignidad,Yucatán,1
94,Baja Sospecha de Malignidad,Zacatecas,14
95,Benigna,Aguascalientes,7731
96,Benigna,Baja California,5434
97,Benigna,Baja California Sur,1911
98,Benigna,Campeche,1669
99,Benigna,Chiapas,3889
100,Benigna,Chihuahua,6584
101,Benigna,Ciudad de México,59148
102,Benigna,Coahuila de Zaragoza,6596
103,Benigna,Colima,4354
104,Benigna,Durango,9073
105,Benigna,Estado de México,162374
106,Benigna,Guanajuato,33867
107,Benigna,Guerrero,19925
108,Benigna,Hidalgo,27643
109,Benigna,Jalisco,26955
