,Estado,Año,PIB en miles de pesos,Total gasto público en salud,Subtotal no asegurados,Gasto administrativo SSA,Aportaciones federales,Gasto estatal en salud,Subtotal asegurados,IMSS,ISSSTE,Cuotas de recuperación,Primas de seguros médicos,Total gasto en salud % PIB,Total gasto en salud % gasto público,Gasto en salud asegurados per cápita,Gasto en salud no asegurados per cápita,Total gasto en salud per cápita,Aportación federal % no asegurados
0,Estados Unidos Mexicanos,2000-01-01,10983890601.3,284322990.43,92221099.75,32524104.49,45666769.87,14030225.39,192101890.68,158199096.05,25106991.01,0.0,15242292.93,2.6,16.6,3884.49,1792.72,2817.98,84.8
1,Aguascalientes,2000-01-01,123363527.39,3028818.49,1059039.52,6816.29,691829.84,360393.39,1969778.97,1791865.29,167010.8,0.0,49754.01,2.5,12.8,3052.95,2915.51,3003.45,66.0
2,Baja California,2000-01-01,361774863.46,7325540.79,1142409.28,58962.54,1035444.66,48002.07,6183131.51,5730922.81,418176.84,0.0,225017.87,2.0,17.6,3720.76,1286.42,2872.94,95.8
3,Baja California Sur,2000-01-01,53924478.08,2110065.1,548082.52,6526.28,519422.41,22133.83,1561982.58,1237631.99,317848.31,0.0,5631.66,3.9,17.3,4842.07,3809.58,4523.62,96.0
4,Campeche,2000-01-01,119119714.33,2428181.38,984654.51,149975.07,697430.08,137249.36,1443526.87,928988.47,161987.19,0.0,1734.41,2.0,7.0,4392.01,2646.65,3465.33,86.1
5,Coahuila de Zaragoza,2000-01-01,311362934.9,7799420.03,1234103.23,230397.94,894638.59,109066.7,6565316.8,6025755.93,468071.39,0.0,173783.72,2.5,19.8,3534.59,2301.1,3258.24,91.2
6,Colima,2000-01-01,54497854.81,2001071.9,726407.91,9504.41,701830.27,15073.23,1274663.98,1025511.24,164785.91,0.0,9134.83,3.7,10.6,3934.93,3209.16,3636.4,97.9
7,Chiapas,2000-01-01,162396709.12,6006452.25,3672585.58,1303824.54,2275098.14,93662.9,2333866.67,1863698.59,447107.89,0.0,5742.51,3.7,11.0,2375.52,1154.03,1442.18,97.5
8,Chihuahua,2000-01-01,457118776.2,9255077.57,2177615.47,395524.6,1222452.73,559638.14,7077462.09,6548925.49,511814.48,0.0,549205.51,2.0,20.8,3619.86,2108.57,3097.49,74.3
9,Distrito Federal,2000-01-01,2243808424.55,85875056.33,29489375.09,22260445.06,2676515.45,4552414.57,56385681.24,41566101.39,12630011.61,0.0,8741838.45,3.8,18.7,10033.75,8868.08,9600.41,84.6
10,Durango,2000-01-01,119854086.01,4016554.86,1452948.67,487559.43,950441.0,14948.24,2563606.18,2166228.84,368124.28,0.0,11942.2,3.4,16.6,2986.71,2272.82,2681.98,99.0
11,Guanajuato,2000-01-01,341739159.2,8274034.05,2262307.93,121459.18,1745675.3,395173.45,6011726.12,5067861.41,515631.44,0.0,124579.97,2.4,18.0,2821.14,750.89,1608.55,82.5
12,Guerrero,2000-01-01,171360939.8,5270179.87,2781127.31,281544.74,2465506.35,34076.21,2489052.57,1938642.82,541151.14,0.0,13396.92,3.1,11.3,2820.88,1186.47,1633.47,98.8
13,Hidalgo,2000-01-01,129942825.19,4153347.88,1975749.95,634883.51,1260454.37,80412.07,2177597.93,1705430.57,275947.5,0.0,12347.81,3.2,11.5,2498.07,1301.06,1737.59,95.9
14,Jalisco,2000-01-01,642441350.24,17036184.77,5027860.78,70154.37,2961727.76,1995978.66,12008323.99,11307711.97,622971.27,0.0,858396.77,2.7,28.0,3446.51,1659.75,2615.53,60.3
15,México,2000-01-01,1006269670.28,18095585.05,5844788.4,244134.07,5393232.64,207421.69,12250796.65,11753423.79,448789.76,0.0,442043.33,1.8,19.7,1865.68,918.04,1399.18,96.5
16,Michoacán de Ocampo,2000-01-01,221873686.71,6253745.96,2438339.98,711644.0,1626270.15,100425.83,3815405.98,3155016.69,634373.16,0.0,38916.18,2.8,14.6,2787.2,872.9,1502.48,95.9
17,Morelos,2000-01-01,133028440.29,3461156.1,1056781.59,28011.21,841636.3,187134.07,2404374.51,1968543.71,422024.2,0.0,70053.16,2.6,17.3,3385.63,1198.31,2173.99,82.3
18,Nayarit,2000-01-01,52760381.86,2550900.4,894138.33,187570.81,676629.19,29938.33,1656762.07,1414832.83,236077.18,0.0,7007.2,4.8,19.1,3509.35,1924.68,2723.4,96.7
19,Nuevo León,2000-01-01,705879072.68,12651237.58,1744040.89,29953.29,1373259.24,340828.36,10907196.69,10030753.28,564251.94,0.0,2497902.53,1.8,21.3,3745.04,1680.81,3202.8,80.5
20,Oaxaca,2000-01-01,147763109.89,5215169.96,3014565.84,1196465.57,1778076.7,40023.57,2200604.12,1475657.65,495505.77,0.0,5318.49,3.5,12.1,2097.83,1149.53,1420.48,98.7
21,Puebla,2000-01-01,374841901.12,8165851.86,2649474.51,842657.99,1498064.62,308751.9,5516377.35,4955480.96,429117.91,0.0,255057.78,2.2,17.9,3199.48,751.43,1555.39,88.4
22,Querétaro de Arteaga,2000-01-01,172676014.52,3218766.36,974054.94,69815.93,840236.24,64002.76,2244711.43,2039435.77,185891.42,0.0,87929.55,1.9,12.8,2669.34,1365.0,2070.59,93.4
23,Quintana Roo,2000-01-01,139546763.47,2803054.25,916635.08,34579.49,744832.13,137223.46,1886419.17,1690720.33,195698.84,0.0,30883.49,2.0,21.5,3604.0,2206.7,2985.75,85.0
24,San Luis Potosí,2000-01-01,171552280.05,4719889.42,1588769.75,532005.15,935640.36,121124.24,3131119.66,2677159.28,337786.97,0.0,60845.38,2.8,16.4,2921.55,1204.91,1974.59,92.4
25,Sinaloa,2000-01-01,193148301.61,6731859.76,1797823.93,352383.0,1085246.81,360194.12,4934035.83,4289173.02,594724.25,0.0,40114.59,3.5,16.9,3081.75,1918.88,2652.47,80.0
26,Sonora,2000-01-01,266534877.2,7401274.3,2212939.7,34519.49,1308856.46,869563.75,5188334.6,4644168.73,479436.28,0.0,430131.73,2.8,18.6,3413.29,2874.12,3232.02,60.7
27,Tabasco,2000-01-01,120540703.62,6138259.96,2923848.1,98490.25,1205652.01,1619705.85,3214411.86,1828020.85,240695.38,0.0,35884.25,5.1,14.4,4172.52,2425.34,3106.55,44.6
28,Tamaulipas,2000-01-01,308621452.64,8207908.05,2179005.99,209695.05,1677072.34,292238.61,6028902.06,4139783.17,764039.96,0.0,213389.22,2.7,14.8,3567.57,1979.57,2941.21,86.6
29,Tlaxcala,2000-01-01,53024817.27,1785581.58,702611.67,21440.92,627427.06,53743.68,1082969.91,957744.51,122607.29,0.0,1442.6,3.4,17.3,2753.54,1136.11,1764.88,92.4
30,Veracruz de Ignacio de la Llave,2000-01-01,396508493.73,14560975.16,4177867.28,1117795.5,2315299.87,744771.91,10383107.88,7681099.13,763951.95,0.0,55385.77,3.7,12.5,3674.92,947.96,2013.23,82.2
31,Yucatán,2000-01-01,138467114.89,5192722.63,1426721.78,353622.87,992242.8,80856.11,3766000.85,3375251.39,359727.52,0.0,181593.03,3.8,18.0,4014.99,1821.38,3016.73,94.3
32,Zacatecas,2000-01-01,71722591.81,2589066.76,1144424.25,441741.93,648627.98,54054.33,1444642.52,1217554.12,221651.16,0.0,5887.99,3.6,15.2,2617.97,1321.66,1826.22,95.3
33,Estados Unidos Mexicanos,2001-01-01,11130150974.26,297320113.48,98454573.26,34701722.19,49370886.99,14381964.08,198865540.22,161467111.38,27498538.85,4535439.68,18370934.32,2.7,16.6,4046.21,1858.57,2911.41,85.4
34,Aguascalientes,2001-01-01,126886465.69,3351501.43,1186560.44,149881.24,766921.78,269757.42,2164940.99,1949930.05,203352.26,47970.44,55904.6,2.6,18.6,3351.52,3125.77,3267.96,77.3
35,Baja California,2001-01-01,351724058.88,7582201.97,1465436.26,382945.12,1082491.14,0.0,6116765.71,5590326.16,491306.25,74794.3,296961.62,2.2,18.3,3610.75,1570.13,2885.85,100.0
36,Baja California Sur,2001-01-01,58769314.76,2426404.82,732855.23,118176.99,550326.8,64351.43,1693549.59,1363134.76,324394.26,51851.47,7414.38,4.1,20.1,5159.53,4822.91,5053.01,91.2
37,Campeche,2001-01-01,120897082.81,2824872.31,1215936.78,337375.89,750264.16,128296.72,1608935.53,1032749.26,188301.99,30585.04,3630.48,2.3,7.0,4844.9,3183.74,3956.36,89.5
