,titulo,link,fecha,mes,year
0,Cáncer de mama – Dirección de Comunicación de la Ciencia,https://www.uv.mx/cienciauv/blog/cancermama/,22 oct. 2014 ,octubre,2014
1,Cáncer de mama| autoexploración y detección - ClikiSalud.net,https://www.clikisalud.net/temas-cancer/cancer-de-mama-autoexploracion-y-deteccion/,21 mar. 2014 —,marzo,2014
2,DETECTA A TIEMPO EL CÁNCER DE MAMA Y SALVA TU VIDA,http://www.sociedadcivil.pri.org.mx/Articulos/Articulo.aspx?y=1844,22 may. 2014 —,mayo,2014
3,Cáncer de mama| detéctalo a tiempo y ¡salva tu vida ...,https://sanatoriolaluz.mx/cancer-mama-detectalo-a-tiempo-salva-vida/,7 may. 2014 —,mayo,2014
4,HISTORIA CLÍNICA CÁNCER DE MAMA Datos del paciente,http://mixacademico.alianzamedicamexicana.com/medicoTransforma/cancerM/descargables/HojadeCaptura.pdf,11 jun. 2014 —,junio,2014
5,Cáncer de mama en LALEO,https://www.laleo.com/cancer-de-mama-p-11289.html,20 mar. 2014 —,marzo,2014
6,Cáncer de mama| un problema a vencer • Forbes México,https://www.forbes.com.mx/cancer-de-mama-un-problema-vencer/,9 oct. 2014 —,octubre,2014
7,Suma de esfuerzos para investigar el cáncer de mama ...,http://ciencia.unam.mx/leer/305/Suma_de_esfuerzos_para_investigar_el_cancer_de_mama,27 ene. 2014 —,enero,2014
8,Cáncer de mama| el más frecuente en las mujeres ...,https://www.clikisalud.net/cancer-de-mama-el-mas-frecuente-en-las-mujeres/,19 oct. 2014 —,octubre,2014
9,Etiquetas IMSS: Cáncer de mama,http://www.imss.gob.mx/tags/c%C3%A1ncer-de-mama,25 ago. 2014 —,agosto,2014
10,Octubre: mes de la sensibilización del cáncer de mama ...,https://www.uv.mx/saisuv/general/octubre-mes-de-la-senbilizacion-del-cancer-de-mama/,4 dic. 2014 —,diciembre,2014
11,Tratamientos - Hospital Zambrano Hellion,https://www.cmzh.com.mx/servicios-y-especialidades/cancer-de-mama/tratamientos.aspx,16 dic. 2014 —,diciembre,2014
12,triptico CAMA - Centro Nacional de Equidad de Género y ...,http://cnegsr.salud.gob.mx/contenidos/descargas/cama/Octubre/TripticoCAMA2014.pdf,21 oct. 2014 —,octubre,2014
13,8 reglas para disminuir el riesgo de cáncer de mama,https://expansion.mx/lifestyle/2014/09/29/10-reglas-para-sobrevivir-al-cancer-de-mama,10 oct. 2014 —,octubre,2014
