Categoría: Todas las categorías

Mes,Cáncer de mama: (México)
2013-01,8
2013-02,15
2013-03,11
2013-04,7
2013-05,13
2013-06,15
2013-07,6
2013-08,8
2013-09,15
2013-10,46
2013-11,11
2013-12,6
2014-01,13
2014-02,13
2014-03,16
2014-04,12
2014-05,17
2014-06,8
2014-07,5
2014-08,8
2014-09,19
2014-10,78
2014-11,19
2014-12,13
2015-01,15
2015-02,4
2015-03,24
2015-04,18
2015-05,9
2015-06,18
2015-07,12
2015-08,14
2015-09,12
2015-10,74
2015-11,25
2015-12,11
2016-01,5
2016-02,11
2016-03,6
2016-04,9
2016-05,8
2016-06,12
2016-07,19
2016-08,9
2016-09,17
2016-10,52
2016-11,20
2016-12,12
2017-01,11
2017-02,9
2017-03,14
2017-04,13
2017-05,19
2017-06,15
2017-07,12
2017-08,11
2017-09,21
2017-10,67
2017-11,23
2017-12,7
2018-01,11
2018-02,18
2018-03,21
2018-04,12
2018-05,19
2018-06,17
2018-07,15
2018-08,15
2018-09,35
2018-10,93
2018-11,34
2018-12,18
2019-01,27
2019-02,23
2019-03,24
2019-04,26
2019-05,23
2019-06,22
2019-07,16
2019-08,21
2019-09,31
2019-10,100
2019-11,40
2019-12,23
2020-01,31
